no;text;category;;;
1;Selamat pagi, bagaimana jika saya lupa kata sandi untuk masuk ke aplikasi dan saya tidak dapat mengakses data KTP saya?;Masalah Akses dan Keamanan Data;;;
2;Halo admin, apa langkah-langkah keamanan yang harus saya ambil jika saya khawatir data KTP saya disalahgunakan oleh pihak yang tidak bertanggung jawab?;Masalah Akses dan Keamanan Data;;;
3;Selamat siang, bagaimana jika saya menemukan bahwa orang lain telah mengakses data KTP saya tanpa izin?;Masalah Akses dan Keamanan Data;;;
4;Selamat malam, apakah ada risiko kebocoran data KTP jika saya menggunakan jaringan Wi-Fi publik saat mengakses aplikas;Masalah Akses dan Keamanan Data;;;
5;Halo admin, bagaimana saya bisa memastikan bahwa informasi KTP saya tidak terkena virus atau malware di dalam aplikasi?;Masalah Akses dan Keamanan Data;;;
6;Selamat sore, apakah ada enkripsi data yang digunakan untuk melindungi informasi KTP saya saat disimpan di server aplikasi?;Masalah Akses dan Keamanan Data;;;
7;Selamat pagi, apa langkah-langkah pemulihan yang tersedia jika akun saya diretas dan data KTP saya diubah oleh pihak yang tidak sah?;Masalah Akses dan Keamanan Data;;;
8;Halo admin, bagaimana cara mengaktifkan autentikasi dua faktor untuk meningkatkan keamanan akun saya?;Masalah Akses dan Keamanan Data;;;
9;Selamat siang, apakah aplikasi ini dilengkapi dengan fitur pelaporan jika saya mencurigai ada penyalahgunaan data KTP saya?;Masalah Akses dan Keamanan Data;;;
10;Selamat malam, apa kebijakan penghapusan data KTP yang sudah tidak diperlukan lagi dari server aplikasi?;Masalah Akses dan Keamanan Data;;;
11;Selamat pagi, bagaimana saya bisa memperbarui informasi vaksinasi saya jika saya mendapatkan dosis vaksin tambahan?;Masalah Pengelolaan Informasi Vaksinasi;;;
12;Halo admin, apakah ada cara untuk memastikan bahwa data vaksinasi saya tetap terkini dan akurat di dalam aplikasi?;Masalah Pengelolaan Informasi Vaksinasi;;;
13;Selamat siang, bagaimana jika saya menemukan bahwa data vaksinasi saya tidak tercatat dengan benar di dalam aplikasi?;Masalah Pengelolaan Informasi Vaksinasi;;;
14;Selamat malam, apa yang harus saya lakukan jika sertifikat vaksinasi saya tidak muncul saat saya mencoba mengaksesnya melalui aplikasi?;Masalah Pengelolaan Informasi Vaksinasi;;;
15;Halo admin, apakah ada notifikasi otomatis yang dikirimkan jika ada perubahan atau pembaruan terkait jadwal vaksinasi saya?;Masalah Pengelolaan Informasi Vaksinasi;;;
16;Selamat sore, bagaimana cara mengatasi masalah jika aplikasi gagal memperbarui informasi vaksinasi saya dari basis data terbaru?;Masalah Pengelolaan Informasi Vaksinasi;;;
17;Selamat pagi, apa langkah-langkah yang perlu saya ambil jika saya khawatir sertifikat vaksinasi saya dipalsukan atau dimanipulasi?;Masalah Pengelolaan Informasi Vaksinasi;;;
18;Halo admin, bagaimana cara memastikan bahwa sertifikat vaksinasi yang dikeluarkan oleh aplikasi ini diakui secara internasional?;Masalah Pengelolaan Informasi Vaksinasi;;;
19;Selamat malam, bagaimana saya bisa menambahkan informasi vaksinasi keluarga saya ke dalam aplikasi ini?;Masalah Pengelolaan Informasi Vaksinasi;;;
20;Selamat siang, apakah ada batas waktu penggunaan sertifikat vaksinasi yang dikeluarkan oleh aplikasi ini?;Masalah Pengelolaan Informasi Vaksinasi;;;
21;Selamat pagi, bagaimana cara saya memperbaiki kesalahan status check-in saya jika saya salah menginput informasinya?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
22;Halo admin, apa yang harus saya lakukan jika riwayat kunjungan saya ke rumah sakit tidak terekam dengan benar di dalam aplikasi?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
23;Selamat siang, apakah ada risiko kebocoran informasi pribadi saya saat saya melakukan check-in di lokasi tertentu melalui aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
24;Selamat malam, bagaimana cara menghapus riwayat kunjungan saya yang sensitif dari aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
25;Halo admin, apakah aplikasi ini menyediakan opsi privasi untuk menyembunyikan riwayat kunjungan saya dari orang lain?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
26;Selamat sore, apa yang harus saya lakukan jika saya tidak dapat melakukan check-in di lokasi tertentu melalui aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
27;Selamat pagi, bagaimana cara melihat catatan check-in saya yang sudah lewat di aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
28;Halo admin, apakah ada batasan jumlah check-in yang bisa saya lakukan dalam sehari atau dalam rentang waktu tertentu?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
29;Selamat siang, apakah aplikasi ini menyimpan riwayat kunjungan saya secara permanen atau hanya sementara?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
30;Selamat malam, apa yang harus saya lakukan jika saya kehilangan riwayat kunjungan saya di aplikasi ini?;Masalah Terkait Check-in dan Riwayat Kunjungan;;;
31;Selamat pagi, bagaimana saya bisa yakin bahwa apotek online yang terhubung dengan aplikasi ini adalah tepercaya dan memiliki izin yang sah?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
32;Halo admin, apa langkah-langkah yang harus saya ambil jika saya menerima obat yang salah atau cacat setelah membelinya melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
33;Selamat siang, bagaimana cara mengembalikan atau menukar obat yang sudah saya beli jika ada masalah dengan pesanan saya?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
34;Selamat malam, apakah ada layanan dukungan pelanggan yang tersedia jika saya mengalami masalah saat melakukan pembelian obat di apotek online melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
35;Halo admin, bagaimana cara memeriksa ketersediaan obat tertentu di apotek online sebelum saya melakukan pembelian?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
36;Selamat sore, apa yang harus saya lakukan jika saya tidak dapat menemukan apotek online yang terhubung dengan aplikasi ini di daerah saya?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
37;Selamat pagi, bagaimana cara memastikan keamanan pembayaran saya saat melakukan pembelian obat di apotek online melalui aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
38;Halo admin, apakah ada fitur untuk mengingatkan saya jika obat yang saya butuhkan tersedia atau ada penawaran khusus di apotek online?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
39;Selamat siang, apa langkah-langkah keamanan yang diimplementasikan oleh aplikasi ini untuk melindungi informasi lokasi saya saat melakukan check-in?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
40;Selamat malam, bagaimana cara mengaktifkan atau menonaktifkan fitur check-in lokasi secara manual di dalam aplikasi ini?;Masalah Terkait Pembelian Obat dan Check-in Lokasi;;;
